================================================================================
  PLUS33 Coffee ERP - Live Database Table Row Counts
================================================================================

Table: advance_shipping_notices                 | Count: 0
Table: compliance_queue_items                   | Count: 0
Table: consumer_checkpoint                      | Count: 0
Table: cost_centers                             | Count: 0
Table: cost_roll_up_snapshots                   | Count: 0
Table: country_benefit_policies                 | Count: 0
Table: country_leave_policies                   | Count: 45
Table: country_work_policies                    | Count: 0
Table: credit_drawdowns                         | Count: 0
Table: credit_facilities                        | Count: 0
Table: credit_note_items                        | Count: 0
Table: credit_notes                             | Count: 0
Table: credit_repayments                        | Count: 0
Table: crm_cases                                | Count: 0
Table: crm_commissions                          | Count: 0
Table: crm_event_store                          | Count: 0
Table: crm_leads                                | Count: 0
Table: crm_opportunities                        | Count: 0
Table: crm_quote_version_lines                  | Count: 0
Table: crm_quote_versions                       | Count: 0
Table: crm_quotes                               | Count: 0
Table: crm_territories                          | Count: 0
Table: crm_timeline_events                      | Count: 0
Table: cross_dock_lines                         | Count: 0
Table: cross_dock_orders                        | Count: 0
Table: customer_invoice_items                   | Count: 0
Table: customer_invoices                        | Count: 0
Table: customer_return_items                    | Count: 0
Table: customer_returns                         | Count: 0
Table: customers                                | Count: 1
Table: cycle_count_plans                        | Count: 0
Table: cycle_count_results                      | Count: 0
Table: cycle_count_tasks                        | Count: 0
Table: dashboard_configs                        | Count: 0
Table: delivery_routes                          | Count: 0
Table: departments                              | Count: 0
Table: depreciation_books                       | Count: 0
Table: dim_account                              | Count: 0
Table: dim_company                              | Count: 0
Table: dim_currency                             | Count: 0
Table: dim_customer                             | Count: 0
Table: dim_date                                 | Count: 0
Table: dim_employee                             | Count: 0
Table: dim_location                             | Count: 0
Table: dim_organization                         | Count: 0
Table: dim_product                              | Count: 0
Table: dim_project                              | Count: 0
Table: dim_supplier                             | Count: 0
Table: dock_doors                               | Count: 0
Table: dock_schedules                           | Count: 0
Table: document_references                      | Count: 0
Table: einvoice_compliance_logs                 | Count: 0
Table: employee_leave_balances                  | Count: 4320
Table: employee_leave_transactions              | Count: 0
Table: employee_leave_year_summary              | Count: 0
Table: employee_leaves                          | Count: 0
Table: employee_payrolls                        | Count: 0
Table: employee_salary_structure_items          | Count: 0
Table: employee_salary_structures               | Count: 0
Table: employee_shifts                          | Count: 0
Table: employees                                | Count: 364
Table: engineering_change_lines                 | Count: 0
Table: engineering_change_orders                | Count: 0
Table: equipment_assets                         | Count: 0
Table: esm_analytics_snapshots                  | Count: 0
Table: esm_billing_records                      | Count: 0
Table: esm_checklists                           | Count: 0
Table: esm_event_store                          | Count: 0
Table: esm_installed_assets                     | Count: 0
Table: esm_iot_alarms                           | Count: 0
Table: esm_parts_reservations                   | Count: 0
Table: esm_pm_plans                             | Count: 0
Table: esm_service_contracts                    | Count: 0
Table: esm_surveys                              | Count: 0
Table: esm_technician_sessions                  | Count: 0
Table: esm_technician_skills                    | Count: 0
Table: esm_van_stocks                           | Count: 0
Table: esm_warranties                           | Count: 0
Table: esm_work_order_tasks                     | Count: 0
Table: esm_work_orders                          | Count: 0
Table: exchange_rates                           | Count: 0
Table: fact_crm                                 | Count: 0
Table: fact_finance                             | Count: 0
Table: fact_grc                                 | Count: 0
Table: fact_hcm                                 | Count: 0
Table: fact_inventory                           | Count: 0
Table: fact_manufacturing                       | Count: 0
Table: fact_payroll                             | Count: 0
Table: fact_procurement                         | Count: 0
Table: fact_project_financials                  | Count: 0
Table: fact_sales                               | Count: 0
Table: fiscal_years                             | Count: 0
Table: fixed_asset_assignments                  | Count: 0
Table: fixed_asset_attachment_versions          | Count: 0
Table: fixed_asset_attachments                  | Count: 0
Table: fixed_asset_audit_items                  | Count: 0
Table: fixed_asset_audits                       | Count: 0
Table: fixed_asset_books                        | Count: 0
Table: fixed_asset_depreciation_logs            | Count: 0
Table: fixed_asset_downtimes                    | Count: 0
Table: fixed_asset_fx_logs                      | Count: 0
Table: fixed_asset_history                      | Count: 0
Table: fixed_asset_impairments                  | Count: 0
Table: fixed_asset_insurance_claims             | Count: 0
Table: fixed_asset_leases                       | Count: 0
Table: fixed_asset_maintenance_plans            | Count: 0
Table: fixed_asset_maintenances                 | Count: 0
Table: fixed_asset_notifications                | Count: 0
Table: fixed_asset_relations                    | Count: 0
Table: fixed_asset_reservations                 | Count: 0
Table: fixed_asset_revaluations                 | Count: 0
Table: fixed_asset_transfers                    | Count: 0
Table: fixed_asset_utilization                  | Count: 0
Table: fixed_asset_work_orders                  | Count: 0
Table: fixed_assets                             | Count: 0
Table: flyway_schema_history                    | Count: 341
Table: forecast_accuracy_logs                   | Count: 0
Table: fx_deal_settlements                      | Count: 0
Table: fx_deals                                 | Count: 0
Table: goods_receipt_items                      | Count: 0
Table: goods_receipts                           | Count: 0
Table: gps_tracking_logs                        | Count: 0
Table: grc_access_review_campaigns              | Count: 0
Table: grc_access_review_decisions              | Count: 0
Table: grc_analytics_snapshots                  | Count: 0
Table: grc_audit_engagements                    | Count: 6
Table: grc_audit_finding_responses              | Count: 0
Table: grc_audit_findings                       | Count: 0
Table: grc_audit_programs                       | Count: 1
Table: grc_audit_universe                       | Count: 1
Table: grc_cap_tasks                            | Count: 0
Table: grc_compliance_controls                  | Count: 0
Table: grc_compliance_evidence                  | Count: 0
Table: grc_compliance_frameworks                | Count: 0
Table: grc_compliance_milestones                | Count: 0
Table: grc_continuous_control_monitors          | Count: 0
Table: grc_control_alerts                       | Count: 0
Table: grc_control_library                      | Count: 3
Table: grc_control_mappings                     | Count: 0
Table: grc_control_test_plans                   | Count: 3
Table: grc_control_test_results                 | Count: 10
Table: grc_corrective_action_plans              | Count: 3
Table: grc_enterprise_issues                    | Count: 2
Table: grc_event_store                          | Count: 0
Table: grc_policies                             | Count: 0
Table: grc_policy_acknowledgements              | Count: 0
Table: grc_policy_exceptions                    | Count: 0
Table: grc_policy_versions                      | Count: 0
Table: grc_regulatory_obligations               | Count: 0
Table: grc_regulatory_submissions               | Count: 0
Table: grc_risk_appetite_statements             | Count: 0
Table: grc_risk_assessments                     | Count: 0
Table: grc_risk_kris                            | Count: 0
Table: grc_risk_mitigation_plans                | Count: 0
Table: grc_risk_treatment_history               | Count: 0
Table: grc_risks                                | Count: 0
Table: grc_sod_exemptions                       | Count: 0
Table: grc_sod_rules                            | Count: 0
Table: grc_sod_violations                       | Count: 0
Table: hcm_analytics_snapshots                  | Count: 0
Table: hcm_candidates                           | Count: 0
Table: hcm_compensation_history                 | Count: 0
Table: hcm_competencies                         | Count: 0
Table: hcm_courses                              | Count: 0
Table: hcm_departments                          | Count: 0
Table: hcm_employee_competencies                | Count: 0
Table: hcm_employee_documents                   | Count: 0
Table: hcm_employee_lifecycle                   | Count: 0
Table: hcm_event_store                          | Count: 0
Table: hcm_goals                                | Count: 0
Table: hcm_job_requisition_versions             | Count: 0
Table: hcm_job_requisitions                     | Count: 0
Table: hcm_learning_enrollments                 | Count: 0
Table: hcm_organizations                        | Count: 0
Table: hcm_position_assignments                 | Count: 0
Table: hcm_positions                            | Count: 0
Table: hcm_rosters                              | Count: 0
Table: hcm_shift_patterns                       | Count: 0
Table: hcm_successors                           | Count: 0
Table: hcm_talent_pools                         | Count: 0
Table: hedge_effectiveness_tests                | Count: 0
Table: holiday_calendar                         | Count: 0
Table: in_house_bank_accounts                   | Count: 0
Table: integration_connector                    | Count: 0
Table: integration_connector_execution          | Count: 0
Table: integration_gateway_key                  | Count: 0
Table: integration_gateway_usage_log            | Count: 0
Table: integration_inbox                        | Count: 0
Table: integration_lock                         | Count: 0
Table: integration_monitoring_metric            | Count: 0
Table: integration_outbox                       | Count: 0
Table: integration_saga                         | Count: 0
Table: integration_saga_step                    | Count: 0
Table: integration_schema_registry              | Count: 0
Table: integration_workflow_definition          | Count: 0
Table: integration_workflow_instance            | Count: 0
Table: integration_workflow_task                | Count: 0
Table: intercompany_interest_logs               | Count: 0
Table: intercompany_loans                       | Count: 0
Table: intercompany_netting_lines               | Count: 0
Table: intercompany_netting_runs                | Count: 0
Table: interest_rate_history                    | Count: 0
Table: interest_rate_indices                    | Count: 0
Table: internal_settlements                     | Count: 0
Table: inventory_adjustment_items               | Count: 0
Table: inventory_adjustments                    | Count: 0
Table: inventory_allocation_logs                | Count: 0
Table: inventory_allocations                    | Count: 0
Table: inventory_lots                           | Count: 0
Table: inventory_movements                      | Count: 0
Table: inventory_recalls                        | Count: 0
Table: inventory_reservations                   | Count: 0
Table: inventory_serials                        | Count: 0
Table: inventory_snapshots                      | Count: 0
Table: inventory_stock                          | Count: 0
Table: inventory_trace_events                   | Count: 0
Table: inventory_transfer_items                 | Count: 0
Table: inventory_transfers                      | Count: 0
Table: journal_entries                          | Count: 0
Table: journal_entry_lines                      | Count: 0
Table: labor_groups                             | Count: 0
Table: leave_accrual_logs                       | Count: 0
Table: leave_approval_history                   | Count: 0
Table: leave_approval_workflows                 | Count: 0
Table: leave_audit_log                          | Count: 0
Table: leave_blackout_dates                     | Count: 0
Table: leave_documents                          | Count: 0
Table: leave_types                              | Count: 12
Table: location_stock                           | Count: 387
Table: lot_genealogy                            | Count: 0
Table: machines                                 | Count: 0
Table: manufacturing_batch_genealogy            | Count: 0
Table: manufacturing_calendar_exceptions        | Count: 0
Table: manufacturing_calendar_shifts            | Count: 0
Table: manufacturing_calendars                  | Count: 0
Table: manufacturing_events                     | Count: 0
Table: manufacturing_serial_genealogy           | Count: 0
Table: mrp_pegging_links                        | Count: 0
Table: mrp_runs                                 | Count: 0
Table: notification_templates                   | Count: 0
Table: offline_event_queue                      | Count: 0
Table: overtime_rules                           | Count: 0
Table: payment_allocations                      | Count: 0
Table: payment_batches                          | Count: 0
Table: payment_files                            | Count: 0
Table: payment_run_invoices                     | Count: 0
Table: payment_run_supplier_results             | Count: 0
Table: payment_runs                             | Count: 0
Table: payment_sanctions_logs                   | Count: 0
Table: payment_transmission_history             | Count: 0
Table: payment_transmission_logs                | Count: 0
Table: payment_transmission_queue               | Count: 0
Table: payments                                 | Count: 0
Table: payroll_approval_workflows               | Count: 0
Table: payroll_audit_events                     | Count: 0
Table: payroll_cost_allocations                 | Count: 0
Table: payroll_item_breakdowns                  | Count: 0
Table: payroll_periods                          | Count: 0
Table: payroll_policies                         | Count: 0
Table: payroll_policy_versions                  | Count: 0
Table: payroll_run_items                        | Count: 0
Table: payroll_runs                             | Count: 0
Table: period_lock_overrides                    | Count: 0
Table: period_locks                             | Count: 0
Table: permissions                              | Count: 333
Table: pick_list_items                          | Count: 0
Table: pick_lists                               | Count: 0
Table: picking_work                             | Count: 0
Table: planned_orders                           | Count: 0
Table: platform_access_policy                   | Count: 0
Table: platform_agent_memory                    | Count: 0
Table: platform_agent_message                   | Count: 0
Table: platform_agent_prompt                    | Count: 0
Table: platform_agent_reasoning                 | Count: 0
Table: platform_agent_session                   | Count: 0
Table: platform_agent_tool                      | Count: 0
Table: platform_agent_tool_execution            | Count: 0
Table: platform_agent_workflow                  | Count: 0
Table: platform_agent_workflow_run              | Count: 0
Table: platform_ai_agent                        | Count: 0
Table: platform_ai_model_metrics                | Count: 0
Table: platform_ai_model_registry               | Count: 0
Table: platform_ai_model_version                | Count: 0
Table: platform_ai_prediction_explanation       | Count: 0
Table: platform_aiops_model                     | Count: 0
Table: platform_anomaly_alert                   | Count: 0
Table: platform_audit_log                       | Count: 0
Table: platform_autonomous_action               | Count: 0
Table: platform_autonomous_execution            | Count: 0
Table: platform_autonomous_rerouting            | Count: 0
Table: platform_backup_run                      | Count: 0
Table: platform_backup_schedule                 | Count: 0
Table: platform_cache_invalidation_log          | Count: 0
Table: platform_cache_namespace                 | Count: 0
Table: platform_cache_node                      | Count: 0
Table: platform_cache_region                    | Count: 0
Table: platform_cache_warmup_job                | Count: 0
Table: platform_capacity_forecast               | Count: 0
Table: platform_carbon_footprint_log            | Count: 0
Table: platform_causal_model                    | Count: 0
Table: platform_chargeback                      | Count: 0
Table: platform_circuit_breaker_stats           | Count: 0
Table: platform_cloud_cost_item                 | Count: 0
Table: platform_cloud_resource                  | Count: 0
Table: platform_compliance_audit_log            | Count: 0
Table: platform_compliance_control              | Count: 0
Table: platform_compliance_framework            | Count: 0
Table: platform_config                          | Count: 0
Table: platform_config_version                  | Count: 0
Table: platform_conformance_deviation           | Count: 0
Table: platform_conformance_rule                | Count: 0
Table: platform_cost_allocation                 | Count: 0
Table: platform_cost_center                     | Count: 0
Table: platform_cost_recommendation             | Count: 0
Table: platform_deployment_group                | Count: 0
Table: platform_deployment_history              | Count: 0
Table: platform_device_attestation              | Count: 0
Table: platform_device_compliance_log           | Count: 0
Table: platform_device_compliance_policy        | Count: 0
Table: platform_device_config_profile           | Count: 0
Table: platform_device_diagnostic               | Count: 0
Table: platform_device_drift_log                | Count: 0
Table: platform_device_remote_command           | Count: 0
Table: platform_discovery_node                  | Count: 0
Table: platform_dispatch_assignment             | Count: 0
Table: platform_dispatch_audit_log              | Count: 0
Table: platform_dispatch_constraint_check       | Count: 0
Table: platform_dispatch_policy                 | Count: 0
Table: platform_distributed_lock                | Count: 0
Table: platform_eco_driving_log                 | Count: 0
Table: platform_edge_audit_log                  | Count: 0
Table: platform_edge_certificate_log            | Count: 0
Table: platform_edge_health_metric              | Count: 0
Table: platform_edge_node                       | Count: 0
Table: platform_edge_sync_queue                 | Count: 0
Table: platform_embedding_provider              | Count: 0
Table: platform_esg_audit_log                   | Count: 0
Table: platform_esg_carbon_offset               | Count: 0
Table: platform_esg_compliance_log              | Count: 0
Table: platform_esg_scope1_log                  | Count: 0
Table: platform_esg_scope2_log                  | Count: 0
Table: platform_ev_battery_health_log           | Count: 0
Table: platform_ev_charging_schedule            | Count: 0
Table: platform_ev_charging_station             | Count: 0
Table: platform_ev_energy_audit_log             | Count: 0
Table: platform_ev_telemetry_log                | Count: 0
Table: platform_failure_prognostics_log         | Count: 0
Table: platform_feature_flag                    | Count: 0
Table: platform_feature_flag_history            | Count: 0
Table: platform_finops_budget                   | Count: 0
Table: platform_forecast_model_registry         | Count: 0
Table: platform_fuel_audit_log                  | Count: 0
Table: platform_fuel_efficiency_advisor         | Count: 0
Table: platform_fuel_optimization_policy        | Count: 0
Table: platform_fuel_telemetry_log              | Count: 0
Table: platform_gateway_heartbeat               | Count: 0
Table: platform_geofence_audit_log              | Count: 0
Table: platform_geofence_definition             | Count: 0
Table: platform_geofence_event                  | Count: 0
Table: platform_graph_edge                      | Count: 0
Table: platform_graph_node                      | Count: 0
Table: platform_iot_gateway                     | Count: 0
Table: platform_k8s_pod_status                  | Count: 0
Table: platform_k8s_resource                    | Count: 0
Table: platform_knowledge_chunk                 | Count: 0
Table: platform_knowledge_refresh_job           | Count: 0
Table: platform_knowledge_source                | Count: 0
Table: platform_knowledge_version               | Count: 0
Table: platform_log_entry                       | Count: 0
Table: platform_logistics_delay_prediction      | Count: 0
Table: platform_logistics_node                  | Count: 0
Table: platform_machinery_telemetry             | Count: 0
Table: platform_maintenance_trigger_log         | Count: 0
Table: platform_maintenance_window              | Count: 0
Table: platform_mesh_certificate                | Count: 0
Table: platform_multicloud_sync_history         | Count: 0
Table: platform_multicloud_sync_profile         | Count: 0
Table: platform_operational_query_log           | Count: 0
Table: platform_optimization_strategy           | Count: 0
Table: platform_ota_audit_log                   | Count: 0
Table: platform_ota_campaign                    | Count: 0
Table: platform_ota_node_execution              | Count: 0
Table: platform_ota_package                     | Count: 0
Table: platform_policy_audit                    | Count: 0
Table: platform_policy_history                  | Count: 0
Table: platform_policy_version                  | Count: 0
Table: platform_predictive_audit_log            | Count: 0
Table: platform_predictive_maintenance_forecast | Count: 0
Table: platform_predictive_maintenance_policy   | Count: 0
Table: platform_process_case                    | Count: 0
Table: platform_process_event_log               | Count: 0
Table: platform_prompt_version                  | Count: 0
Table: platform_region_profile                  | Count: 0
Table: platform_reliability_failure_log         | Count: 0
Table: platform_replication_lag_log             | Count: 0
Table: platform_rerouting_execution             | Count: 0
Table: platform_rerouting_policy                | Count: 0
Table: platform_resilience_rule                 | Count: 0
Table: platform_rl_policy                       | Count: 0
Table: platform_rl_policy_update                | Count: 0
Table: platform_root_cause_analysis             | Count: 0
Table: platform_route_audit_log                 | Count: 0
Table: platform_route_cost_log                  | Count: 0
Table: platform_route_deviancy_log              | Count: 0
Table: platform_route_optimization_policy       | Count: 0
Table: platform_route_simulation_run            | Count: 0
Table: platform_routing_audit_log               | Count: 0
Table: platform_routing_optimization_recommendation | Count: 0
Table: platform_scada_alarm_event               | Count: 0
Table: platform_scada_alarm_policy              | Count: 0
Table: platform_scada_audit_trail               | Count: 0
Table: platform_scada_device                    | Count: 0
Table: platform_scada_signal_register           | Count: 0
Table: platform_scada_write_command             | Count: 0
Table: platform_scaling_activity                | Count: 0
Table: platform_scaling_decision                | Count: 0
Table: platform_scaling_policy                  | Count: 0
Table: platform_secret_definition               | Count: 0
Table: platform_service_mesh_endpoint           | Count: 0
Table: platform_shipping_lane                   | Count: 0
Table: platform_slo                             | Count: 0
Table: platform_slo_measurement                 | Count: 0
Table: platform_spatial_query_log               | Count: 0
Table: platform_telemetry_archive_log           | Count: 0
Table: platform_telemetry_metric                | Count: 0
Table: platform_telemetry_retention_policy      | Count: 0
Table: platform_tenant_routing                  | Count: 0
Table: platform_trace_span                      | Count: 0
Table: platform_transit_route                   | Count: 0
Table: platform_twin_alert                      | Count: 0
Table: platform_twin_anomaly_threshold          | Count: 0
Table: platform_twin_config_history             | Count: 0
Table: platform_twin_config_version             | Count: 0
Table: platform_twin_definition                 | Count: 0
Table: platform_twin_instance                   | Count: 0
Table: platform_twin_prediction_snapshot        | Count: 0
Table: platform_twin_relation                   | Count: 0
Table: platform_twin_simulation_result          | Count: 0
Table: platform_twin_simulation_scenario        | Count: 0
Table: platform_twin_state                      | Count: 0
Table: platform_twin_telemetry                  | Count: 0
Table: platform_vector_store                    | Count: 0
Table: platform_vehicle                         | Count: 0
Table: platform_vehicle_telemetry               | Count: 0
Table: platform_xai_lineage                     | Count: 0
Table: positive_pay_files                       | Count: 0
Table: positive_pay_items                       | Count: 0
Table: ppm_projects                             | Count: 0
Table: processed_messages                       | Count: 0
Table: procurement_analytics_snapshots          | Count: 0
Table: procurement_contract_amendments          | Count: 0
Table: procurement_event_store                  | Count: 0
Table: procurement_policies                     | Count: 0
Table: procurement_requisitions                 | Count: 0
Table: procurement_rfq_versions                 | Count: 0
Table: procurement_rfqs                         | Count: 0
Table: procurement_supplier_contracts           | Count: 0
Table: procurement_supplier_qualifications      | Count: 0
Table: procurement_supplier_responses           | Count: 0
Table: procurement_supplier_scorecards          | Count: 0
Table: product_categories                       | Count: 15
Table: production_confirmations                 | Count: 0
Table: production_costs                         | Count: 0
Table: production_material_issues               | Count: 0
Table: production_order_operations              | Count: 0
Table: production_orders                        | Count: 0
Table: production_rework                        | Count: 0
Table: production_scrap                         | Count: 0
Table: products                                 | Count: 129
Table: project_analytics_snapshots              | Count: 0
Table: project_billing_contracts                | Count: 0
Table: project_billing_milestones               | Count: 0
Table: project_budget_versions                  | Count: 0
Table: project_budgets                          | Count: 0
Table: project_change_requests                  | Count: 0
Table: project_cost_ledger                      | Count: 0
Table: project_event_store                      | Count: 0
Table: project_milestones                       | Count: 0
Table: project_phases                           | Count: 0
Table: project_portfolios                       | Count: 0
Table: project_programs                         | Count: 0
Table: project_resource_assignments             | Count: 0
Table: project_resources                        | Count: 0
Table: project_risks                            | Count: 0
Table: project_task_dependencies                | Count: 0
Table: project_tasks                            | Count: 0
Table: project_timesheets                       | Count: 0
Table: project_wbs                              | Count: 0
Table: project_wbs_versions                     | Count: 0
Table: projects                                 | Count: 0
Table: purchase_order_items                     | Count: 0
Table: purchase_orders                          | Count: 0
Table: purchase_request_items                   | Count: 0
Table: purchase_requests                        | Count: 0
Table: put_away_work                            | Count: 0
Table: quality_inspections                      | Count: 0
Table: recipe_items                             | Count: 0
Table: recipes                                  | Count: 0
Table: reconciliation_rules                     | Count: 0
Table: regions                                  | Count: 15
Table: replenishment_plans                      | Count: 0
Table: replenishment_rules                      | Count: 0
Table: replenishment_suggestions                | Count: 0
Table: replenishment_tasks                      | Count: 0
Table: robot_tasks                              | Count: 0
Table: role_permissions                         | Count: 1665
Table: roles                                    | Count: 9
Table: route_stops                              | Count: 0
Table: routing_headers                          | Count: 0
Table: routing_operations                       | Count: 0
Table: salary_components                        | Count: 0
Table: sales_order_items                        | Count: 0
Table: sales_orders                             | Count: 0
Table: sales_transaction_items                  | Count: 0
Table: sales_transactions                       | Count: 0
Table: scheduler_job_runs                       | Count: 0
Table: serial_genealogy                         | Count: 0
Table: shifts                                   | Count: 0
Table: shipment_lines                           | Count: 0
Table: shipments                                | Count: 0
Table: slotting_recommendations                 | Count: 0
Table: stg_crm                                  | Count: 0
Table: stg_finance                              | Count: 0
Table: stg_grc                                  | Count: 0
Table: stg_hcm                                  | Count: 0
Table: stg_inventory                            | Count: 0
Table: stg_manufacturing                        | Count: 0
Table: stg_payroll                              | Count: 0
Table: stg_procurement                          | Count: 0
Table: stg_projects                             | Count: 0
Table: stg_sales                                | Count: 0
Table: stock_adjustments                        | Count: 0
Table: stock_count_items                        | Count: 0
Table: stock_counts                             | Count: 0
Table: stock_movements                          | Count: 0
Table: stock_transfer_items                     | Count: 0
Table: stock_transfers                          | Count: 0
Table: stores                                   | Count: 12
Table: supplier_invoice_items                   | Count: 0
Table: supplier_invoices                        | Count: 30
Table: suppliers                                | Count: 1
Table: tax_adjustment_entries                   | Count: 0
Table: tax_audit_logs                           | Count: 0
Table: tax_calculation_logs                     | Count: 0
Table: tax_calendar                             | Count: 0
Table: tax_categories                           | Count: 0
Table: tax_configuration_versions               | Count: 0
Table: tax_determination_rules                  | Count: 0
Table: tax_exemption_certificates               | Count: 0
Table: tax_filings                              | Count: 0
Table: tax_group_lines                          | Count: 0
Table: tax_groups                               | Count: 0
Table: tax_override_requests                    | Count: 0
Table: tax_posting_profiles                     | Count: 0
Table: tax_rates                                | Count: 0
Table: tax_registrations                        | Count: 0
Table: treasury_accounting_profiles             | Count: 0
Table: treasury_alerts                          | Count: 0
Table: treasury_approval_steps                  | Count: 0
Table: treasury_approvals                       | Count: 0
Table: treasury_audit_events                    | Count: 0
Table: treasury_authorization_matrices          | Count: 0
